theta, Z0_pq, Z0_tnqvm
-3.14159265359, -1.0, -1.0
-3.07812613534, -0.997986676472, -0.997986676472
-3.01465961708, -0.991954812831, -0.991954812831
-2.95119309883, -0.981928697263, -0.981928697263
-2.88772658057, -0.967948701396, -0.967948701396
-2.82426006232, -0.950071117741, -0.950071117741
-2.76079354406, -0.928367933016, -0.928367933014
-2.69732702581, -0.902926538287, -0.902926538287
-2.63386050756, -0.87384937707, -0.873849377072
-2.5703939893, -0.841253532831, -0.84125353283
-2.50692747105, -0.805270257531, -0.805270257539
-2.44346095279, -0.766044443119, -0.766044443098
-2.37999443454, -0.723734038105, -0.72373403812
-2.31652791628, -0.678509411557, -0.678509411539
-2.25306139803, -0.630552667085, -0.630552667108
-2.18959487977, -0.580056909571, -0.580056909559
-2.12612836152, -0.527225467611, -0.527225467643
-2.06266184327, -0.472271074773, -0.472271074767
-1.99919532501, -0.415415013002, -0.415415013045
-1.93572880676, -0.356886221592, -0.356886221594
-1.8722622885, -0.296920375328, -0.296920375286
-1.80879577025, -0.235758935509, -0.23575893552
-1.74532925199, -0.173648177667, -0.173648177632
-1.68186273374, -0.110838199901, -0.11083819992
-1.61839621549, -0.0475819158237, -0.0475819157973
-1.55492969723, 0.0158659638348, 0.015865963807
-1.49146317898, 0.0792499568568, 0.0792499568745
-1.42799666072, 0.142314838273, 0.142314838237
-1.36453014247, 0.204806668065, 0.204806668074
-1.30106362421, 0.26647381369, 0.266473813646
-1.23759710596, 0.327067963317, 0.327067963318
-1.17413058771, 0.386345125693, 0.386345125736
-1.11066406945, 0.444066612606, 0.444066612598
-1.0471975512, 0.5, 0.500000000032
-0.983731032942, 0.553920063866, 0.553920063852
-0.920264514688, 0.605609687138, 0.605609687161
-0.856797996434, 0.654860733945, 0.654860733926
-0.793331478179, 0.701474887706, 0.701474887721
-0.729864959925, 0.745264449676, 0.745264449653
-0.666398441671, 0.786053094743, 0.78605309475
-0.602931923416, 0.82367658143, 0.823676581405
-0.539465405162, 0.857983413235, 0.857983413236
-0.475998886908, 0.888835448655, 0.888835448677
-0.412532368653, 0.916108457432, 0.91610845743
-0.349065850399, 0.939692620786, 0.939692620799
-0.285599332145, 0.959492973614, 0.95949297361
-0.22213281389, 0.975429786885, 0.975429786892
-0.158666295636, 0.987438888676, 0.987438888673
-0.0951997773815, 0.995471922573, 0.995471922575
-0.0317332591272, 0.999496542383, 0.999496542382
0.0317332591272, 0.999496542383, 0.999496542383
0.0951997773815, 0.995471922573, 0.995471922573
0.158666295636, 0.987438888676, 0.987438888676
0.22213281389, 0.975429786885, 0.975429786885
0.285599332145, 0.959492973614, 0.959492973614
0.349065850399, 0.939692620786, 0.939692620786
0.412532368653, 0.916108457432, 0.916108457432
0.475998886908, 0.888835448655, 0.888835448655
0.539465405162, 0.857983413235, 0.857983413235
0.602931923416, 0.82367658143, 0.82367658143
0.666398441671, 0.786053094743, 0.786053094743
0.729864959925, 0.745264449676, 0.745264449676
0.793331478179, 0.701474887706, 0.701474887706
0.856797996434, 0.654860733945, 0.654860733945
0.920264514688, 0.605609687138, 0.605609687138
0.983731032942, 0.553920063866, 0.553920063866
1.0471975512, 0.5, 0.499999999997
1.11066406945, 0.444066612606, 0.444066612607
1.17413058771, 0.386345125693, 0.386345125689
1.23759710596, 0.327067963317, 0.327067963317
1.30106362421, 0.26647381369, 0.266473813694
1.36453014247, 0.204806668065, 0.204806668064
1.42799666072, 0.142314838273, 0.142314838276
1.49146317898, 0.0792499568568, 0.0792499568538
1.55492969723, 0.0158659638348, 0.0158659638361
1.61839621549, -0.0475819158237, -0.0475819158281
1.68186273374, -0.110838199901, -0.110838199901
1.74532925199, -0.173648177667, -0.173648177663
1.80879577025, -0.235758935509, -0.235758935511
1.8722622885, -0.296920375328, -0.296920375325
1.93572880676, -0.356886221592, -0.356886221594
1.99919532501, -0.415415013002, -0.415415013
2.06266184327, -0.472271074773, -0.472271074776
2.12612836152, -0.527225467611, -0.52722546761
2.18959487977, -0.580056909571, -0.580056909567
2.25306139803, -0.630552667085, -0.630552667085
2.31652791628, -0.678509411557, -0.678509411555
2.37999443454, -0.723734038105, -0.723734038107
2.44346095279, -0.766044443119, -0.766044443118
2.50692747105, -0.805270257531, -0.805270257533
2.5703939893, -0.841253532831, -0.841253532831
2.63386050756, -0.87384937707, -0.873849377072
2.69732702581, -0.902926538287, -0.902926538287
2.76079354406, -0.928367933016, -0.928367933015
2.82426006232, -0.950071117741, -0.950071117742
2.88772658057, -0.967948701396, -0.967948701396
2.95119309883, -0.981928697263, -0.981928697263
3.01465961708, -0.991954812831, -0.991954812831
3.07812613534, -0.997986676472, -0.997986676472
3.14159265359, -1.0, -1.0
